"ProcedureName","Domain","DetectedPattern","RecommendedStrategy","Confidence","ProcedureType","InsertCount","InsertTables","UpdateCount","UpdateTables","DeleteCount","DeleteTables","TotalDMLOps","HasTransactionHandling","HasValidation","Rationale","SQLOperationsDetail","CallHierarchy","DeveloperCorrection","Notes","NeedsAttention"
"inv_transactions_GetAnalytics","Transactions","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_transactions_GetAnalytics"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from UI"",""EventHandler"":""Transactions.cs.Transactions_Button_SidePanel_Click"",""MethodChain"":[],""DAO"":{""Method"":""SmartSearchAsync"",""File"":""Dao_Transactions.cs""},""StoredProcedure"":""inv_transactions_GetAnalytics"",""Tables"":""inv_transaction"",""ReturnType"":""Task<DaoResult<List<Model_Transactions>>>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
"inv_transactions_SmartSearch","Transactions","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_transactions_SmartSearch"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from UI"",""EventHandler"":""Transactions.cs.Transactions_Button_SidePanel_Click"",""MethodChain"":[],""DAO"":{""Method"":""SmartSearchAsync"",""File"":""Dao_Transactions.cs""},""StoredProcedure"":""inv_transactions_SmartSearch"",""Tables"":""inv_transaction"",""ReturnType"":""Task<DaoResult<List<Model_Transactions>>>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
"log_changelog_Get_Current","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""log_changelog_Get_Current"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from UI"",""EventHandler"":""Transactions.cs.OnSmartSearchTextChanged"",""MethodChain"":[""Stop""],""DAO"":{""Method"":""VersionChecker"",""File"":""Service_Timer_VersionChecker.cs""},""StoredProcedure"":""log_changelog_Get_Current"",""Tables"":""log_changelog"",""ReturnType"":""void"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""SetVersionLabel""}}","","","False"
"log_error_Add_Error","Logging","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","log_error(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: log_error(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""log_error_Add_Error"",""TotalOperations"":1,""Operations"":[{""Index"":1,""Type"":""INSERT"",""Table"":""log_error"",""Columns"":[""User"",""Severity"",""ErrorType"",""ErrorMessage"",""StackTrace"",""ModuleName"",""MethodName"",""AdditionalInfo"",""MachineName"",""OSVersion"",""AppVersion"",""ErrorTime""],""Values"":[""p_User"",""p_Severity"",""p_ErrorType"",""p_ErrorMessage"",""p_StackTrace"",""p_ModuleName"",""p_MethodName"",""p_AdditionalInfo"",""p_MachineName"",""p_OSVersion"",""p_AppVersion"",""p_ErrorTime""],""ColumnValuePairs"":[""User = p_User"",""Severity = p_Severity"",""ErrorType = p_ErrorType"",""ErrorMessage = p_ErrorMessage"",""StackTrace = p_StackTrace"",""ModuleName = p_ModuleName"",""MethodName = p_MethodName"",""AdditionalInfo = p_AdditionalInfo"",""MachineName = p_MachineName"",""OSVersion = p_OSVersion"",""AppVersion = p_AppVersion"",""ErrorTime = p_ErrorTime""],""RawSQL"":""INSERT INTO `log_error` (\n            `User`, `Severity`, `ErrorType`, `ErrorMessage`, `StackTrace`,\n            `ModuleName`, `MethodName`, `AdditionalInfo`, `MachineName`,\n            `OSVersion`, `AppVersion`, `ErrorTime`\n        ) VALUES (\n            p_User, p_Severity, p_ErrorType, p_ErrorMessage, p_StackTrace,\n            p_ModuleName, p_MethodName, p_AdditionalInfo, p_MachineName,\n            p_OSVersion, p_AppVersion, p_ErrorTime\n        )""}]}","{""Status"":""Called from DAO (no UI event handler traced)"",""DAO"":{""Method"":""LogErrorToDatabaseAsync"",""File"":""Dao_ErrorLog.cs""},""StoredProcedure"":""log_error_Add_Error"",""Tables"":""log_error"",""ReturnType"":""Task""}","","","False"
"log_error_Delete_All","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","log_error(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: log_error(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""log_error_Delete_All"",""TotalOperations"":1,""Operations"":[{""Index"":1,""Type"":""DELETE"",""Table"":""log_error"",""WhereConditions"":null,""HasWhere"":false,""Warning"":""DELETE without WHERE - affects all rows!"",""RawSQL"":""DELETE FROM `log_error`""}]}","{""Status"":""Called from DAO (no UI event handler traced)"",""DAO"":{""Method"":""Unknown"",""File"":""Dao_ErrorLog.cs""},""StoredProcedure"":""log_error_Delete_All"",""Tables"":""log_error"",""ReturnType"":""Unknown""}","","","False"
"log_error_Delete_ById","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","log_error(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: log_error(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""log_error_Delete_ById"",""TotalOperations"":1,""Operations"":[{""Index"":1,""Type"":""DELETE"",""Table"":""log_error"",""WhereConditions"":""`ID` = p_Id"",""HasWhere"":true,""Warning"":"""",""RawSQL"":""DELETE FROM `log_error` WHERE `ID` = p_Id""}]}","{""Status"":""Called from DAO (no UI event handler traced)"",""DAO"":{""Method"":""Unknown"",""File"":""Dao_ErrorLog.cs""},""StoredProcedure"":""log_error_Delete_ById"",""Tables"":""log_error"",""ReturnType"":""Unknown""}","","","False"
"log_error_Get_All","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""log_error_Get_All"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from DAO (no UI event handler traced)"",""DAO"":{""Method"":""Unknown"",""File"":""Dao_ErrorLog.cs""},""StoredProcedure"":""log_error_Get_All"",""Tables"":""log_error"",""ReturnType"":""Unknown""}","","","False"
"log_error_Get_ByDateRange","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""log_error_Get_ByDateRange"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from DAO (no UI event handler traced)"",""DAO"":{""Method"":""Unknown"",""File"":""Dao_ErrorLog.cs""},""StoredProcedure"":""log_error_Get_ByDateRange"",""Tables"":""log_error"",""ReturnType"":""Unknown""}","","","False"
"log_error_Get_ByUser","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""log_error_Get_ByUser"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from DAO (no UI event handler traced)"",""DAO"":{""Method"":""Unknown"",""File"":""Dao_ErrorLog.cs""},""StoredProcedure"":""log_error_Get_ByUser"",""Tables"":""log_error"",""ReturnType"":""Unknown""}","","","False"
"log_error_Get_Unique","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""log_error_Get_Unique"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from DAO (no UI event handler traced)"",""DAO"":{""Method"":""Unknown"",""File"":""Dao_ErrorLog.cs""},""StoredProcedure"":""log_error_Get_Unique"",""Tables"":""log_error"",""ReturnType"":""Unknown""}","","","False"
"md_item_types_Add_ItemType","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","md_item_types(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: md_item_types(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""md_item_types_Add_ItemType"",""TotalOperations"":1,""Operations"":[{""Index"":1,""Type"":""INSERT"",""Table"":""md_item_types"",""Columns"":[""ItemType"",""IssuedBy""],""Values"":[""p_ItemType"",""p_IssuedBy""],""ColumnValuePairs"":[""ItemType = p_ItemType"",""IssuedBy = p_IssuedBy""],""RawSQL"":""INSERT INTO `md_item_types` (`ItemType`, `IssuedBy`)\n        VALUES (p_ItemType, p_IssuedBy)""}]}","{""Status"":""Called from UI"",""EventHandler"":""Control_Edit_Location.cs.LocationsComboBox_SelectedIndexChanged"",""MethodChain"":[""ClearForm""],""DAO"":{""Method"":""InsertItemType"",""File"":""Dao_ItemType.cs""},""StoredProcedure"":""md_item_types_Add_ItemType"",""Tables"":""md_item_types"",""ReturnType"":""Task<DaoResult>"",""UIElementUpdated"":{""OnSuccess"":""Show"",""OnFailure"":""None detected""}}","","","False"
"md_item_types_Delete_ByID","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","md_item_types(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: md_item_types(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""md_item_types_Delete_ByID"",""TotalOperations"":1,""Operations"":[{""Index"":1,""Type"":""DELETE"",""Table"":""md_item_types"",""WhereConditions"":""`ID` = p_ID"",""HasWhere"":true,""Warning"":"""",""RawSQL"":""DELETE FROM `md_item_types`\n        WHERE `ID` = p_ID""}]}","{""Status"":""Not called from C# code"",""StoredProcedure"":""md_item_types_Delete_ByID"",""Tables"":""md_item_types"",""Note"":""May be legacy, unused, called from other stored procedures, or background services""}","","","False"
"md_item_types_Delete_ByType","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","md_item_types(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: md_item_types(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""md_item_types_Delete_ByType"",""TotalOperations"":1,""Operations"":[{""Index"":1,""Type"":""DELETE"",""Table"":""md_item_types"",""WhereConditions"":""`ItemType` = p_ItemType"",""HasWhere"":true,""Warning"":"""",""RawSQL"":""DELETE FROM `md_item_types`\n        WHERE `ItemType` = p_ItemType""}]}","{""Status"":""Called from UI"",""EventHandler"":""Control_Remove_ItemType.cs.RemoveButton_Click"",""MethodChain"":[],""DAO"":{""Method"":""DeleteItemType"",""File"":""Dao_ItemType.cs""},""StoredProcedure"":""md_item_types_Delete_ByType"",""Tables"":""md_item_types"",""ReturnType"":""Task<DaoResult>"",""UIElementUpdated"":{""OnSuccess"":""Show"",""OnFailure"":""None detected""}}","","","False"
