ProcedureName,Domain,DetectedPattern,RecommendedStrategy,Confidence,ProcedureType,InsertCount,UpdateCount,DeleteCount,TotalDMLOps,HasTransactionHandling,HasValidation,Rationale,DeveloperCorrection,Notes
inv_inventory_Add_Item,inventory,MULTI_STEP_SEQUENTIAL,StandardTransaction,90,MIXED,2,1,0,3,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [INSERT] INTO [inv_inventory] → [INSERT] INTO [inv_transaction] → [UPDATE] TABLE [inv_inventory_batch_seq],Corrected via Invoke-T106Review on 2025-10-17 21:50:21,
md_locations_Delete_ByLocation,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,0,1,1,True,True,[1-STEP] [MODIFY] | [DELETE] x1,,
md_locations_Get_All,master-data,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
md_locations_Update_Location,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,1,0,1,True,True,[1-STEP] [MODIFY] | [UPDATE] x1,,
md_operation_numbers_Add_Operation,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,1,0,0,1,True,True,[1-STEP] [MODIFY] | [INSERT] x1,,
md_operation_numbers_Delete_ByOperation,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,0,1,1,True,True,[1-STEP] [MODIFY] | [DELETE] x1,,
md_operation_numbers_Get_All,master-data,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
md_operation_numbers_Update_Operation,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,1,0,1,True,True,[1-STEP] [MODIFY] | [UPDATE] x1,,
md_part_ids_Add_Part,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,1,0,0,1,True,True,[1-STEP] [MODIFY] | [INSERT] x1,,
md_part_ids_Delete_ByItemNumber,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,0,1,1,True,True,[1-STEP] [MODIFY] | [DELETE] x1,,
md_part_ids_Get_All,master-data,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
md_part_ids_Get_ByItemNumber,master-data,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
md_part_ids_Update_Part,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,1,0,1,True,True,[1-STEP] [MODIFY] | [UPDATE] x1,,
sys_GetUserAccessType,system,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
sys_last_10_transactions_AddQuickButton_1,system,MULTI_STEP_SEQUENTIAL,StandardTransaction,90,DML_ONLY,1,1,0,2,True,True,[SEQUENTIAL] [MODIFY] | [INSERT] INTO [sys_last_10_transactions] → [UPDATE] TABLE [sys_last_10_transactions],Corrected via Invoke-T106Review on 2025-10-17 21:53:46,
sys_last_10_transactions_Get_ByUser_1,system,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
sys_last_10_transactions_Get_ByUser,system,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
sys_last_10_transactions_Move_1,system,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,1,2,1,4,True,True,[CONDITIONAL] [QUERY+MODIFY] | [INSERT] INTO [sys_last_10_transactions] → [UPDATE] TABLE [sys_last_10_transactions] → [UPDATE] TABLE [sys_last_10_transactions] → [DELETE] FROM [sys_last_10_transactions],Corrected via Invoke-T106Review on 2025-10-17 21:54:14,
sys_last_10_transactions_MoveToLast_ByUser,system,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,0,2,0,2,True,True,[CONDITIONAL] [QUERY+MODIFY] | [UPDATE] TABLE [sys_last_10_transactions],Corrected via Invoke-T106Review on 2025-10-17 21:54:46,
sys_last_10_transactions_RemoveAndShift_ByUser_1,system,MULTI_STEP_SEQUENTIAL,StandardTransaction,90,MIXED,0,1,1,2,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] TABLE [sys_last_10_transactions] → [DELETE] FROM [sys_last_10_transactions],Corrected via Invoke-T106Review on 2025-10-17 21:55:10,
sys_last_10_transactions_RemoveAndShift_ByUser,system,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,0,1,1,2,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] TABLE [sys_last_10_transactions] → [DELETE] FROM [sys_last_10_transactions],Corrected via Invoke-T106Review on 2025-10-17 21:55:39,
sys_last_10_transactions_Reorder_ByUser,system,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,2,3,1,6,True,True,[CONDITIONAL] [QUERY+MODIFY] | [INSERT] INTO [tempDates] → [INSERT] INTO [tempDates] → [UPDATE] TABLE [tempDates] → [UPDATE] TABLE [tempDates] → [UPDATE] TABLE [sys_last_10_transactions] → [DELETE] FROM [tempDates],Corrected via Invoke-T106Review on 2025-10-17 21:56:12,
sys_last_10_transactions_SwapPositions_ByUser,system,MULTI_STEP_SEQUENTIAL,StandardTransaction,90,MIXED,0,2,0,2,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] TABLE [sys_last_10_transactions] → [UPDATE] TABLE [sys_last_10_transactions],Corrected via Invoke-T106Review on 2025-10-17 21:56:44,
sys_last_10_transactions_Update_ByUserAndDate,system,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,0,2,0,2,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] TABLE [sys_last_10_transactions],Corrected via Invoke-T106Review on 2025-10-17 21:59:22,
sys_last_10_transactions_Update_ByUserAndPosition_1,system,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,0,2,0,2,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] TABLE [sys_last_10_transactions],Corrected via Invoke-T106Review on 2025-10-17 21:59:22,
sys_role_GetIdByName,system,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
sys_roles_Get_ById,system,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
sys_theme_GetAll,system,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
sys_user_access_SetType,system,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,0,2,0,2,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] TABLE [usr_users],Corrected via Invoke-T106Review on 2025-10-17 21:59:23,
sys_user_GetByName,system,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
sys_user_GetIdByName,system,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
sys_user_roles_Add,system,SINGLE_STEP,StandardTransaction,90,MIXED,1,0,0,1,True,True,[1-STEP] [QUERY+MODIFY] | [INSERT] INTO [sys_user_roles],,
sys_user_roles_Delete,system,SINGLE_STEP,StandardTransaction,90,MIXED,0,0,1,1,True,True,[1-STEP] [QUERY+MODIFY] | [DELETE] FROM [sys_user_roles],,
sys_user_roles_Update,system,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,1,1,1,3,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [INSERT] INTO [sys_user_roles] → [DELETE] FROM [sys_user_roles],Corrected via Invoke-T106Review on 2025-10-17 21:59:23,
maint_InsertMissingUserUiSettings,uncategorized,SINGLE_STEP,StandardTransaction,90,MIXED,1,0,0,1,True,False,[1-STEP] [QUERY+MODIFY] | [INSERT] x1,Corrected via Invoke-T106Review on 2025-10-17 21:59:23,
maint_reload_part_ids_and_operation_numbers,uncategorized,MULTI_STEP_SEQUENTIAL,StandardTransaction,90,MIXED,2,0,1,3,True,False,[1-STEP] [QUERY+MODIFY] | [INSERT] INTO [mtm_wip_application],Corrected via Invoke-T106Review on 2025-10-17 21:49:46,
migrate_user_roles_debug,uncategorized,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,8,1,0,9,True,False,[CONDITIONAL] [QUERY+MODIFY] | [INSERT] INTO [migration_debug_log] → [INSERT] INTO [migration_debug_log] → [INSERT] INTO [migration_debug_log] → [INSERT] INTO [migration_debug_log] → [INSERT] INTO [migration_debug_log] → [INSERT] INTO [migration_debug_log] → [INSERT] INTO [mtm_wip_application] → [INSERT] INTO [migration_debug_log],Corrected via Invoke-T106Review on 2025-10-17 21:59:23,
query_get_all_usernames_and_roles,uncategorized,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
sp_ReassignBatchNumbers,uncategorized,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,0,3,0,3,True,False,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] x3,Corrected via Invoke-T106Review on 2025-10-17 21:59:23,
usr_ui_settings_Get,users,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
usr_ui_settings_GetShortcutsJson,users,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
usr_ui_settings_SetJsonSetting,users,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,1,1,0,2,True,True,[CONDITIONAL] [QUERY+MODIFY] | [INSERT] INTO [usr_ui_settings] → [UPDATE] TABLE [usr_ui_settings],Corrected via Invoke-T106Review on 2025-10-17 21:59:23,
usr_ui_settings_SetShortcutsJson,users,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,1,0,1,True,True,[1-STEP] [MODIFY] | [UPDATE] TABLE [usr_ui_settings],,
usr_ui_settings_SetThemeJson,users,SINGLE_STEP,StandardTransaction,90,MIXED,0,1,0,1,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] TABLE [usr_ui_settings],Corrected via Invoke-T106Review on 2025-10-17 21:59:23,
usr_users_Add_User,users,SINGLE_STEP,StandardTransaction,90,DML_ONLY,1,0,0,1,True,True,[1-STEP] [MODIFY] | [INSERT] INTO [usr_users],,
usr_users_Delete_User,users,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,0,1,1,True,True,[1-STEP] [MODIFY] | [DELETE] FROM [usr_users],,
usr_users_Exists,users,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
usr_users_Get_All,users,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
usr_users_Get_ByUser,users,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
usr_users_Update_User,users,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,1,0,1,True,True,[1-STEP] [MODIFY] | [UPDATE] TABLE [usr_users],,
